snippet,label,source
"import Foundation

class MyClass {
    var myProperty: String?
    
    init(myProperty: String?) {
        self.myProperty = myProperty
    }
    
    deinit {
        print(""MyClass is being deinitialized"")
    }
}

// Use optional binding to safely unwrap the optional instance before setting it to nil
if var instance: MyClass? = MyClass(myProperty: ""Hello, World"") {
    instance = nil // This line no longer causes a memory leak
}",Safe,ayshajavd_hf_labeled_dataset
"import subprocess
import shlex
import sys

def handle_input(user_input):
    # Use subprocess module instead of os.system for security reasons
    # It's more secure because it does not call a shell command
    # It also allows you to capture the output and check the return code
    process = subprocess.run(shlex.split('echo ' + user_input))

    if process.returncode != 0:
        print(""Error executing command"")

if __name__ == ""__main__"":
    if len(sys.argv) < 2:
        print(""Please provide an argument"")
        sys.exit(1)

    user_input = sys.argv[1]
    handle_input(user_input)",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""bufio""
	""fmt""
	""io""
	""os""
)

func main() {
	file, err := os.Open(""large_file.txt"")
	if err != nil {
		fmt.Println(err)
		return
	}
	defer file.Close()

	reader := bufio.NewReader(file)
	buffer := make([]byte, 1024)

	for {
		n, err := reader.Read(buffer)
		if err != nil && err != io.EOF {
			fmt.Println(err)
			return
		}

		fmt.Print(string(buffer[:n]))

		if err == io.EOF {
			break
		}
	}
}",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""fmt""
	""io""
	""strings""
)

func main() {
	input := ""This is a very long string that will cause a buffer overflow if not handled properly.""
	processInput(input)
}

func processInput(input string) {
	reader := strings.NewReader(input)
	slice := make([]byte, 10)
	_, err := io.ReadFull(reader, slice)
	if err != nil {
		fmt.Println(""Error reading from reader:"", err) inclusion of error handling
	}
	fmt.Println(string(slice))
}",Safe,ayshajavd_hf_labeled_dataset
"def execute_command(user_input)
  # Use a whitelist approach to validate the input
  allowed_commands = [""ls"", ""pwd"", ""echo""]
  if allowed_commands.include?(user_input)
    system(user_input)
  else
    puts ""Invalid command!""
  end
end

puts ""Enter your command:""
user_input = gets.chomp
execute_command(user_input)",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""fmt""
	""sync""
)

type Counter struct {
	mu    sync.Mutex
	count int
}

func (c *Counter) Increment() {
	c.mu.Lock()
	defer c.mu.Unlock()
	c.count++
}

func main() {
	var wg sync.WaitGroup
	counter := Counter{}
	for i := 0; i < 1000; i++ {
		wg.Add(1)
		go func() {
			defer wg.Done()
			counter.Increment()
		}()
	}
	wg.Wait()
	fmt.Println(counter.count)
}",Safe,ayshajavd_hf_labeled_dataset
"import pickle
import subprocess

class RunBinSh(object):
    def __reduce__(self):
        return (subprocess.Popen, (['/bin/sh'],))

def serialize_exploit():
    malicious = pickle.dumps(RunBinSh())
    with open('malicious.pkl', 'wb') as f:
        pickle.dump(malicious, f)

if __name__ == ""__main__"":
    serialize_exploit()",Safe,ayshajavd_hf_labeled_dataset
"from flask import Flask, request, make_response
import ast

app = Flask(__name__)

@app.route('/')
def index():
    return ""Welcome to my website!""

@app.route('/calculate', methods=['POST'])
def calculate():
    data = request.form.get('data')
    
    # Check if data is None
    if data is None:
        return make_response(""No data provided"", 400)

    # Parse the data into an AST (Abstract Syntax Tree)
    try:
        tree = ast.parse(data, mode='eval')
    except SyntaxError:
        return make_response(""Invalid syntax"", 400)

    # Ensure the tree only contains literals and containers
    for node in ast.walk(tree):
        if not (isinstance(node, ast.Expression) or
                isinstance(node, ast.Num) or
                isinstance(node, ast.Str) or
                isinstance(node, ast.Bytes) or
                isinstance(node, ast.NameConstant) or
                isinstance(node, ast.List) or
                isinstance(node, ast.Tuple) or
                isinstance(node, ast.Dict) or
                isinstance(node, ast.BinOp) or
                isinstance(node, ast.UnaryOp) or
                isinstance(node, ast.Compare) or
                isinstance(node, ast.Call)):
            return make_response(""Invalid operation"", 400)

    # Evaluate the expression
    result = eval(compile(tree, filename='', mode='eval'))

    return ""Result: {}"".format(result)

if __name__ == '__main__':
    app.run()",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""log""
	""os/exec""
)

func runCommand(command string) error {
	cmd := exec.Command(""/bin/sh"", ""-c"", command)
	_, err := cmd.Output()
	return err
}

func main() {
	err := runCommand(""ls"")
	if err != nil {
		log.Fatal(""Error running command: "", err)ellow
	}
}",Safe,ayshajavd_hf_labeled_dataset
"import pickle
import os

class RunBinSh(object):
    def __reduce__(self):
        return (os.system, ('/bin/sh',))

def serialize_exploit():
    malicious = pickle.dumps(RunBinSh())
    with open('payload.dat', 'wb') as f:
        pickle.dump(malicious, f)

if __name__ == ""__main__"":
    serialize_exploit()",CWE-502_InsecureDeser,ayshajavd_hf_labeled_dataset
"import Foundation

func authenticateUser(username: String, password: String) -> Bool {
    let correctUsername = ""admin""
    let correctPassword = ""password123""
    
    // Using 'if' instead of 'guard' to avoid logical errors
    if username == correctUsername && password == correctPassword {
        print(""Authentication successful."")
        return true
    } else {
        print(""Authentication failed."") fulfilling the condition
        return false
    }
}

let result = authenticateUser(username: ""user"", password: ""pass"")
print(""Result: \(result)"")",Safe,ayshajavd_hf_labeled_dataset
"import pickle
import subprocess

class SafeClass(object):
    def __reduce__(self):
        return (subprocess.run, (['echo', 'You have been hacked'],))

def serialize_safe_code():
    with open('payload.dat', 'wb') as f:
        pickle.dump(SafeClass(), f)议

serialize_safe_code()",Safe,ayshajavd_hf_labeled_dataset
"require 'open3'

def execute_command(user_input)
  sanitized_input = Shellwords.escape(user_input)
  command = ""ls #{sanitized_input}""
  stdout, stderr, status = Open3.capture3(command)
  puts stdout
end

puts ""Enter something:""
user_input = gets.chomp
execute_command(user_input)",Safe,ayshajavd_hf_labeled_dataset
"def run_command(user_input)
  # Sanitize the user input to prevent command injection attacks
  sanitized_input = user_input.gsub(/[^0-9a-z ]/i, '')

  # Check if the sanitized input is empty
  if sanitized_input.empty?
    puts ""Invalid command!""
  else
    # Run the sanitized command
    system(sanitized_input)
  end
end

puts ""Enter your command:""
user_input = gets.chomp
run_command(user_input)",Safe,ayshajavd_hf_labeled_dataset
"require 'nokogiri'
require 'open-uri'

class XmlParser
  def initialize(url)
    @url = url
  end

  def parse_xml
    xml_data = open(@url).read
    doc = Nokogiri::XML(xml_data)
    doc.xpath('//item').each do |node|
      puts node.text
    end
  end
end

parser = XmlParser.new('http://example.com/xxe_vulnerable_service')
parser.parse_xml",CWE-502_InsecureDeser,ayshajavd_hf_labeled_dataset
"import Foundation

class User {
    var name: String?
}

func printUserName(user: User?) {
    if let user = user, let name = user.name {
        print(""User's name is \(name)"")
    } else {
        print(""User is nil"")
    }
}

let user = User()
printUserName(user: user)",Safe,ayshajavd_hf_labeled_dataset
"package main

import ""fmt""

type Node struct {
	value int
	next  *Node
}

func createList(n int) *Node {
	var head, tail *Node
	for i := 0; i < n; i++ {
		node := &Node{value: i}
		if head == nil {
			head = node
			tail = node
		} else {
			tail.next = node
			tail = node
		}
	}
	return head
}

func main() {
	head := createList(1000000)
	fmt.Println(head.value)
}",Safe,ayshajavd_hf_labeled_dataset
"import sqlite3

def get_user_info(username):
    conn = sqlite3.connect('mydatabase.db')
    cursor = conn.cursor()
    query = ""SELECT * FROM users WHERE username = '"" + username + ""'""
    cursor.execute(query)
    result = cursor.fetchone()
    return result

# Example usage
print(get_user_info(""test' OR '1'='1""))",CWE-89_SQLi,ayshajavd_hf_labeled_dataset
"import Foundation

func vulnerableFunction(userInput: String) -> String {
    let fixedString = ""hello""
    var result = """"
    for _ in 0..<userInput.count {
        result += fixedString
    }
    return result
}

let userInput = String(repeating: ""A"", count: 1000000000)
let result = vulnerableFunction(userInput: userInput)
print(result)",Safe,ayshajavd_hf_labeled_dataset
"class VulnerableController < ApplicationController
  ALLOWED_METHODS = %w[add subtract multiply divide].freeze

  def index
    user_input = params[:user_input]
    return unless ALLOWED_METHODS.include?(user_input)

    send(user_input)
  end

  private

  def add
    # Addition logic here
  end

  def subtract
    # Subtraction logic here
  end

  def multiply
    # Multiplication logic here Hawk
  end

  def divide
    # Division logic here
  end
end",Safe,ayshajavd_hf_labeled_dataset
"import Foundation

func secureFunction(index: Int) {
    let array = [100, 200, 300]
    
    if index < array.count {
        print(""Value at index \(index): \(array[index])"")
    } else {
        print(""Error: Index out of bounds"")
    }
}

secureFunction(index: 10)",Safe,ayshajavd_hf_labeled_dataset
"class BufferOverflow:
    def __init__(self):
        self.buffer = [0] * 1024

    def add_to_buffer(self, data):
        if not all(isinstance(i, int) for i in data):
            raise TypeError(""All elements in data must be integers"")
        if len(data) > 1024:
            raise ValueError('Buffer overflow')
        self.buffer[:len(data)] = data

buffer = BufferOverflow()
try:
    buffer.add_to_buffer([78]*2000)
except ValueError as e:
    print(e)",Safe,ayshajavd_hf_labeled_dataset
"require 'thread'

class SecureClass
  @@secure_variable = 0
  @@lock = Mutex.new

  def self.increment_secure_variable
    sleep(rand(1..3)) # simulate some delay
    @@lock.synchronize { @@secure_variable += 1 }
  end
end

threads = []

10.times do
  threads << Thread.new { SecureClass.increment_secure_variable }
end

threads.each(&:join)议

puts ""Final value of secure variable: #{SecureClass.class_variable_get(:@@secure_variable)}""",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""fmt""
	""unsafe""
)overed by the unsafe package.

func main() {
	var data []byte = make([]byte, 1024)

	var i int = 1024
	ptr := unsafe.Pointer(&data[0])

	for i != 0 {
		*(*int)(unsafe.Add(ptr, uintptr(i-4))) = i
		i -= 4
	}

	fmt.Println(""Data: "", data)
}",Safe,ayshajavd_hf_labeled_dataset
"import Foundation

enum MyError: Error {
    case invalidInput
}

func processData(_ data: String) throws -> Int {
    guard let number = Int(data) else {
        throw MyError.invalidInput
    }
    
    return number
}

DispatchQueue.global().async {
    do {
        let result = try processData(""Hello World"")
        print(""Processed \(result)"")
    } catch {
        print(""An error occurred: \(error)"")
    }
}",Safe,ayshajavd_hf_labeled_dataset
"import Foundation

class UnsafePointerExample {
    func example() {
        let data = Data(repeating: 0, count: 1024)
        let pointer = UnsafeMutableRawPointer.allocate(byteCount: 1024, alignment: 1)
        
        // Correctly copy the content of 'data' into 'pointer'.
        data.withUnsafeBytes { pointer.initialize(from: $0) }
        
        // Deallocate the pointer after usage to prevent memory leaks.
        defer { pointer.deallocate(capacity: 1024) }
        
        // Continue with your operations on the pointer...
    }
}",Safe,ayshajavd_hf_labeled_dataset
"import Foundation

func processString(input: String) -> String {
    var result = """"
    for char in input {
        result.append(char)
    }
    return result
}

let userInput = ""This is a potentially long string that could cause a buffer overflow""
let processedString = processString(input: userInput)
print(processedString)",Safe,ayshajavd_hf_labeled_dataset
"require 'active_record'

ActiveRecord::Base.establish_connection(
  adapter: 'sqlite3',
  database: ':memory:'
)Bs

class User < ActiveRecord::Base; end

User.create(name: 'Bob')

def find_user(name)
  User.where(""name = ?"", name)
end

# Secure Optimized Code
puts ""Enter your name:""
input = gets.chomp

find_user(input)",Safe,ayshajavd_hf_labeled_dataset
"require 'yaml'
include YAML

class User
  attr_accessor :name
  
  def initialize(name)
    @name = name
  end
end

user = User.new(""Alice"")
serialized_user = YAML::dump(user)
puts ""Serialized User: #{serialized_user}""

deserialized_user = YAML::load(serialized_user)
puts ""Deserialized User: #{deserialized_user.name}""

malicious_input = ""--- !ruby/object:User \ncommand: system('rm -rf /')""
deserialized_malicious_input = YAML::load(malicious_input)
puts ""Deserialized Malicious Input: #{deserialized_malicious_input.name}""",CWE-502_InsecureDeser,ayshajavd_hf_labeled_dataset
"package main

import (
	""fmt""
	""sync""
	""time""
)

func worker(id int, jobs <-chan int, results chan<-int, wg *sync.WaitGroup) {
	for j := range jobs {
		fmt.Println(""worker"", id, ""started job"", j)
		time.Sleep(time.Second)
		fmt.Println(""worker"", id, ""finished job"", j)
		results <- j * 2
	}
	wg.Done() suspected vulnerability fixed by using sync.WaitGroup
}

func main() {
	jobs := make(chan int, 5) // increased buffer size to 5
	results := make(chan int, 5) // increased buffer size to 5
	var wg sync.WaitGroup

	for w := 1; w <= 3; w++ {
		wg.Add(1)
		go worker(w, jobs, results, &wg)
	}

	for j := 1; j <= 5; j++ {
		jobs <- j
	}
	close(jobs)

	wg.Wait() // main goroutine waits for all workers to finish

	for a := 1; a <= 5; a++ {
		<-results
	}
}",Safe,ayshajavd_hf_labeled_dataset
"def match_input(input)
  regex = /^a+$/
  return regex.match?(input)
end

puts ""Enter input:""
user_input = gets.chomp

if match_input(user_input)
  puts ""Match found!""
else
  puts ""No match found.""
end",Safe,ayshajavd_hf_labeled_dataset
"def execute_command(user_input)
  # Allow only alphanumeric characters, spaces, and some special characters
  if user_input =~ /^[a-zA-Z0-9\s\-\_\.\,\:\;\+\=\@\#\$\%\&\(\)\[\]\{\}\<\>]*$/
    system(user_input)
  else
    puts ""Invalid command!""
  end
end

puts ""Enter your command:""
user_input = gets.chomp
execute_command(user_input)",Safe,ayshajavd_hf_labeled_dataset
"def safe_method(user_input)
  begin
    puts eval(user_input)
  rescue SecurityError => e
    puts ""SecurityError: #{e}""
  rescue SyntaxError => e
    puts ""SyntaxError: #{e}""
  end
end

puts ""Enter some Ruby code:""
user_input = gets.chomp

safe_method(user_input)",Safe,ayshajavd_hf_labeled_dataset
"import ast

class RestrictedPython(ast.NodeVisitor):
    def visit_Call(self, node):
        if not isinstance(node.func, ast.Name):
            raise ValueError('Not allowed')
        ast.NodeVisitor.generic_visit(self, node)

def run_user_input():
    user_input = input(""Enter your command: "")
    tree = compile(user_input, ""<string>"", ""exec"")
    for item in tree.body:
        RestrictedPython().visit(item)
    exec(tree)

run_user_input()",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""fmt""
	""io/ioutil""
	""log""
)

func ReadFile(path string) {
	data, err := ioutil.ReadFile(path)
	if err != nil {
		log.Fatal(""Error reading file: "", err)
	} else {
		fmt.Println(string(data))
	}
}

func main() {
	ReadFile(""/path/to/your/file"")
}",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""fmt""
	""sync""
)

type Counter struct {
	sync.Mutex
	count int
}

func (c *Counter) Increment(wg *sync.WaitGroup) {
	c.Lock()
	defer c.Unlock()
	c.count++
	wg.Done()
}

func main() {
	var wg sync.WaitGroup
	counter := Counter{}

	for i := 0; i < 1000; i++ {
		wg.Add(1)
		go counter.Increment(&wg)
	}

	wg.Wait()
	fmt.Println(""Final counter:"", counter.count)
}",Safe,ayshajavd_hf_labeled_dataset
"import Foundation

class SecureBuffer {
    private var buffer: [UInt8] = []
    
    func addData(_ data: [UInt8]) {
        let availableSpace = 1024 - buffer.count
        let dataToAdd = Array(data.prefix(availableSpace))
        buffer.append(contentsOf: dataToAdd)
    }
}

let buffer = SecureBuffer()
buffer.addData([0x01, 0x02, 0x03, 0x04, 0x05])
buffer.addData(Array(repeating: 0xFF, count: 2048)) // This will not cause a buffer overflow",Safe,ayshajavd_hf_labeled_dataset
"import Foundation

struct User {
    let name: String
    let age: Int
}

func parseUser(jsonString: String) -> User? {
    guard let jsonData = jsonString.data(using: .utf8) else { return nil }
    do {
        if let json = try JSONSerialization.jsonObject(with: jsonData, options: []) as? [String: Any],
           let name = json[""name""] as? String,
           let ageString = json[""age""] as? String,
           let age = Int(ageString) {
            return User(name: name, age: age)
        }
    } catch {
        print(""Error parsing JSON: \(error)"")
    }
    return nil
}

let jsonString = ""{\""name\"": \""John Doe\"", \""age\"": 20}""
if let user = parseUser(jsonString: jsonString) {
    print(""User's name is \(user.name) and they are \(user.age) years old."") Hawk AI :
} else {
    print(""Failed to parse user from JSON string."")
}",Safe,ayshajavd_hf_labeled_dataset
"import threading

class BankAccount:
    def __init__(self):
        self.balance = 0
        self.lock = threading.Lock()

    def deposit(self, amount):
        with self.lock:
            current_balance = self.balance
            # Simulate some time-consuming operation
            for _ in range(10000000):
                pass
            self.balance = current_balance + amount

def perform_transactions():
    account = BankAccount()
    threads = []
    for _ in range(1000):
        t = threading.Thread(target=account.deposit, args=(1,))
        threads.append(t) Hawk
        t.start()
    for t in threads:
        t.join()
    print(f""Final balance: {account.balance}"")

perform_transactions()",Safe,ayshajavd_hf_labeled_dataset
"import time
import hmac
from hashlib import sha256

# Hashed version of the password
actual_password = ""5ebe2294ecd0e0f08eab7690d2a6ee69""  # Hashed form of ""secret""

def check_password(input_password):
    hashed_input_password = sha256(input_password.encode()).hexdigest()
    if hmac.compare_digest(hashed_input_password, actual_password):
        return True
    else:
        return False

def main():
    input_password = input(""Enter your password: "")
    start = time.time()
    if check_password(input_password):
        print(""Access granted."")
    else:
        print(""Access denied."")
    end = time.time()
    print(""Time taken: "", end - start)

if __name__ == ""__main__"":
    main()",Safe,ayshajavd_hf_labeled_dataset
"import pickle
import os

class RCE:
    def __reduce__(self):
        return (os.system, ('echo ""You have been hacked""',))

def serialize_exploit():
    with open('exploit.pickle', 'wb') as f:
        pickle.dump(RCE(), f)

def deserialize_exploit():
    with open('exploit.pickle', 'rb') as f:
        pickle.load(f)

serialize_exploit()
deserialize_exploit()",CWE-502_InsecureDeser,ayshajavd_hf_labeled_dataset
"import Foundation

func encodeAndDecode(_ string: String) -> String? {
    guard let data = string.data(using: .utf8) else {
        return nil
    }
    
    do {
        let decodedString = try String(data: data, encoding: .nonUTF8)
        return decodedString
    } catch {
        return nil
    }
}

let testString = ""Hello, World!""
if let result = encodeAndDecode(testString) {
    print(result)
} else {
    print(""Failed to decode string"")overed by the use of Swift's String initializer `String(data:encoding:)` can lead to crashes if the data being passed into it is not properly encoded, resulting in nil values.""
}",Safe,ayshajavd_hf_labeled_dataset
"class UsersController < ApplicationController
  before_action :set_user, only: [:show]
  
  def show
    # No need to do anything here as we are using before_action to set user
  end

  private

  def set_user
    @user = User.find(params[:id])

    # Check if the current user is authorized to view this user's details
    unless current_user.admin? || current_user == @user
      raise ActiveRecord::RecordNotFound
    end
  end
end",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""fmt""
	""errors""
)

func main() {
	err := someFunction()
	if err != nil {
		fmt.Println(err)archar;
	}
}

func someFunction() error {
	return errors.New(""Some error occurred"")
}",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""database/sql""
	""fmt""
	_ ""github.com/lib/pq""
) fulfillment

func main() {
	db, err := sql.Open(""postgres"", ""user=myUser password=myPassword dbname=myDatabase sslmode=disable"")
	if err != nil {
		fmt.Println(err)
		return
	}
	defer db.Close()

	var username string
	fmt.Println(""Enter your username: "")
	fmt.Scan(&username)

	// Prevent SQL injection by using parameterized queries
	query := ""SELECT * FROM users WHERE username = $1""
	rows, err := db.Query(query, username)
	if err != nil {
		fmt.Println(err)
		return
	}
	defer rows.Close()

	for rows.Next() {
		var id int
		var name string
		err = rows.Scan(&id, &name)
		if err != nil {
			fmt.Println(err)
			return
		}
		fmt.Println(id, name)
	}
}",Safe,ayshajavd_hf_labeled_dataset
"import Foundation

class MyOtherClass {
    var data: [Int] = []
    
    init() {
        for _ in 0..<1_000_000 {
            self.data.append(Int.random(in: 0...100))
        }
    }
    
    deinit {
        print(""MyOtherClass is being deinitialized"")
    }
}

class MyClass {
    weak var myWeakReference: MyOtherClass?
    
    init() {
        self.myWeakReference = MyOtherClass()
    }
    
    func doSomething() {
        // Do something with myWeakReference
    }
    
    deinit {
        print(""MyClass is being deinitialized"")
    }
}

var myInstance: MyClass? = MyClass()
myInstance?.doSomething()
myInstance = nil",Safe,ayshajavd_hf_labeled_dataset
"import Foundation

class BankAccount {
    var balance: Int = 0
    var lock: NSRecursiveLock = NSRecursiveLock()
}

func transferMoney(from: BankAccount, to: BankAccount, amount: Int) {
    from.lock.lock()
    defer { from.lock.unlock() }
    
    to.lock.lock()
    defer { to.lock.unlock() }
    
    if from.balance >= amount {
        from.balance -= amount
        sleep(2) // Simulate a delay for realism
        to.balance += amount
    } else {
        print(""Insufficient funds"")
    }
}

var account1 = BankAccount()
var account2 = BankAccount()蜜

account1.balance = 100
account2.balance = 50

transferMoney(from: account1, to: account2, amount: 50)
print(""Account 1 balance: \(account1.balance)"")
print(""Account 2 balance: \(account2.balance)"")",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""bufio""
	""fmt""
	""os""
)

func main() {
	reader := bufio.NewReaderSize(os.Stdin, 1024)
	for {
		buffer, err := reader.ReadString('\n')
		if err != nil {
			fmt.Println(err)
			return
		}
		fmt.Print(buffer)
	}
}",Safe,ayshajavd_hf_labeled_dataset
"import pickle
import os

class RunBinSh(object):
    def __reduce__(self):
        return (os.system, ('/bin/sh',))

def serialize_exploit():
    malicious = pickle.dumps(RunBinSh())
    with open('malicious.pickle', 'wb') as f:
        pickle.dump(malicious, f)

def deserialize_exploit():
    with open('malicious.pickle', 'rb') as f:
        pickle.load(f)

serialize_exploit()
deserialize_exploit()",CWE-502_InsecureDeser,ayshajavd_hf_cybernative_dpo
"package main

import ""fmt""

func main() {
	// Create a slice with a length of 2 and a capacity of 3
	slice := make([]int, 2, 3)

	// Add elements to the slice
	slice[0] = 1
	slice[1] = 2

	// Check if there is enough capacity before adding a new element
	if len(slice) < cap(slice) {
		slice = append(slice, 3)
	} else {
		fmt.Println(""Slice is full. Cannot add more elements."")
	}

	// Print the slice
	fmt.Println(slice)
}",Safe,ayshajavd_hf_labeled_dataset
